Epoch, index,loss_style,loss_psi,total_loss
0,0,-0.01769949309527874,3.3038904666900635,3.286190986633301
0,1,-0.030791819095611572,3.7294702529907227,3.698678493499756
0,2,-0.10881286859512329,3.761016368865967,3.6522035598754883
0,3,-0.1258026510477066,3.760704517364502,3.634901762008667
0,4,-0.12544578313827515,3.4224586486816406,3.2970128059387207
0,5,-0.19476816058158875,3.0934576988220215,2.8986895084381104
0,6,-0.31065475940704346,3.672886610031128,3.362231731414795
0,7,-0.3796592652797699,3.4504435062408447,3.070784330368042
0,8,-0.5223736763000488,3.5029261112213135,2.9805524349212646
0,9,-0.614229679107666,3.6042861938476562,2.9900565147399902
0,10,-0.8712865114212036,3.8019871711730957,2.9307007789611816
0,11,-0.6330942511558533,3.392711877822876,2.759617567062378
0,12,-0.8332892060279846,3.5100433826446533,2.6767542362213135
0,13,-1.026531457901001,3.592557191848755,2.566025733947754
0,14,-0.7781056761741638,3.5971317291259766,2.819025993347168
0,15,-1.1433970928192139,3.080303192138672,1.936906099319458
0,16,-2.058310031890869,3.375729560852051,1.3174195289611816
0,17,-1.6983051300048828,3.3208229541778564,1.6225178241729736
0,18,-1.7646825313568115,3.526310443878174,1.7616279125213623
0,19,-2.220430850982666,3.4425859451293945,1.2221550941467285
0,20,-1.9088661670684814,3.4994683265686035,1.590602159500122
0,21,-2.2143709659576416,3.4780569076538086,1.263685941696167
0,22,-2.801746129989624,3.5033867359161377,0.7016406059265137
0,23,-3.3518121242523193,3.7297487258911133,0.37793660163879395
0,24,-3.4289817810058594,3.6426608562469482,0.21367907524108887
0,25,-2.158618211746216,3.7036311626434326,1.5450129508972168
0,26,-3.720379590988159,3.3756299018859863,-0.34474968910217285
0,27,-2.7166974544525146,3.8743252754211426,1.157627820968628
0,28,-3.784060001373291,3.621075391769409,-0.16298460960388184
0,29,-3.4515113830566406,3.6711442470550537,0.21963286399841309
0,30,-3.499638795852661,3.599905014038086,0.1002662181854248
0,31,-4.5443339347839355,3.8241872787475586,-0.720146656036377
0,32,-4.569175720214844,3.388488292694092,-1.180687427520752
0,33,-4.030826568603516,3.509056329727173,-0.5217702388763428
0,34,-4.179612159729004,3.5267937183380127,-0.6528184413909912
0,35,-3.3659210205078125,3.7257866859436035,0.359865665435791
0,36,-3.0928728580474854,3.30761981010437,0.21474695205688477
0,37,-3.8446578979492188,3.5736820697784424,-0.27097582817077637
0,38,-4.085570335388184,3.582768201828003,-0.5028021335601807
0,39,-3.6600520610809326,3.588832378387451,-0.07121968269348145
0,40,-5.435426712036133,3.6363773345947266,-1.7990493774414062
0,41,-5.348176956176758,3.629152297973633,-1.719024658203125
0,42,-4.896071910858154,3.435743808746338,-1.4603281021118164
0,43,-5.737977504730225,3.414710760116577,-2.3232667446136475
0,44,-5.599078178405762,3.6486802101135254,-1.9503979682922363
0,45,-3.6619527339935303,3.353560209274292,-0.3083925247192383
0,46,-4.520798206329346,3.6753487586975098,-0.8454494476318359
0,47,-3.659677028656006,3.626359462738037,-0.03331756591796875
0,48,-3.944798469543457,3.427056074142456,-0.517742395401001
0,49,-4.311270236968994,3.637437343597412,-0.673832893371582
0,50,-6.404289245605469,3.8463799953460693,-2.5579092502593994
0,51,-5.080116271972656,3.6283018589019775,-1.4518144130706787
0,52,-5.450373649597168,3.751807451248169,-1.698566198348999
0,53,-5.905558109283447,3.373837471008301,-2.5317206382751465
0,54,-5.326959133148193,3.6433260440826416,-1.6836330890655518
0,55,-4.092926025390625,3.574444532394409,-0.5184814929962158
0,56,-4.120456218719482,3.4001665115356445,-0.7202897071838379
0,57,-5.757006645202637,3.3388748168945312,-2.4181318283081055
0,58,-5.2698798179626465,3.30517315864563,-1.9647066593170166
0,59,-4.037281036376953,3.257460117340088,-0.7798209190368652
0,60,-4.441786766052246,3.400386095046997,-1.041400671005249
0,61,-4.406867027282715,3.6139731407165527,-0.7928938865661621
0,62,-5.885299205780029,3.5555217266082764,-2.329777479171753
0,63,-4.1510772705078125,3.575894832611084,-0.5751824378967285
0,64,-4.1760478019714355,3.2435808181762695,-0.932466983795166
0,65,-2.7836287021636963,3.565117359161377,0.7814886569976807
0,66,-4.21016263961792,3.405787706375122,-0.8043749332427979
0,67,-4.068393230438232,3.613553524017334,-0.45483970642089844
0,68,-5.370817184448242,4.059892177581787,-1.310925006866455
0,69,-4.810501575469971,3.447760581970215,-1.3627409934997559
0,70,-3.8276209831237793,3.571293830871582,-0.25632715225219727
